content,sentiment
💭 kalian punya ga sih temen yg kayak gini 😭😭😭 https://t.co/O31PfXW0Jh,O
💭 MUMMY DONT KNOW DADDYS GETTING HOT AT THE BODY SHOP,N
💭 gais ditawain jadi sekpel proker kelas desain ambil ga ya? Itu nanti tugasnya ngapain aja ya?,O
🤍 kapan ya aku bisa jadi the one n only for u,N
💭 november. be nice. plz plz plz.,E
"🤍 ak ngntuk , trs puter playlist , malah playlist dangdut jd ga ngntuk malah joget joget 

""ku ham*il duluan sudah 3 bulan""
""jam satu jam dua jam tiga""
""boom shake shake shake boom""

tolonk ak mau playlist tidur klen",O
"🤍 kadang cape sama diri sendiri, tiap malam ada aja bahan ovt apalagi klo semisal besoknya itu bakal jadi hari yang berat :( kadang tiba-tiba gemeter dan pernah sampe mual saking panik/takutnya ngebayangin hari esok :(",N
"🤍 KAK SAKA 大好き!!!!!!!
 BARANGKALI SKRIPSINYA BERAT. AKU BISA KO BANTUIN BOLAK BALIK KE TUKANG FOTOCOPY😩❤️‍🔥",O
"Beri aku rekomen ye0njun au donggg, trims cinta 🤍",O
"💭 hai, boleh minta saran ngajak putus baik baik ga? Sender minder sama cowo sender karena dia orang berada. Btw setiap mau minta putus si cowo suka ngomong ""Pantes orang lemah dan cacat kayak aku ditinggalin juga"" help",O
"🤍 gais spill baju rapi yg kalian pake buat interview dong, gw bingung mau pake apa kalo cuma di suruh pakaian rapi aja 😭😭 soalnya baru pertama kali interview kerjaa",O
"🤍 Gais, boleh kasih saran ga?🙏 Aku kena penyakit IMS trus harus periksa dan biaya nya lumayan mahal. Aku bingung gimana cara ngasih tau ke orang tua ku takut ditanyain🥺",O
💭 People who use to listen songs on YT are cool af !!!,O
Selamat malam! 🐱 https://t.co/R2QDjaQ9pt,E
"CONVOMFS OPEN FOLLBACK

1. Retweet tweet ini
2. Retweet tweet di bawah
3. Reply done ce

Jangan spam ya, good luck! 🐱 https://t.co/VLDwrHDwtk",O
Sudah pada ikutan?,O
Udah difb dim allahu mana testinya https://t.co/QXN6JaNQTk,O
"CONVOMFS OPEN FOLLBACK

1. Retweet tweet ini

2. Follow https://t.co/6aENOt5V9j

3. Reply done ce

Jangan spam ya, good luck! 🐱",O
Yang berani kasih testi angkat tangan 👋,O
💭 kalau pas pup berdarah tu kenapa yaa?,O
"💭 knp yh orang² klo foto merem gt hasilny baguss, gue coba foto merem malah jadinya kek orang ketiduran anjrt 😭😭😭",N
💭 ini twit udah ga bisa share ke igs ya??,O
"🤍 waw ldks ternyata tidak menyenangkan y.... aku abis ldks di omelin abis abisan sama TNI + osis sekolah iya sih namanya jg ldks. plg plg pahaku kayak abis di injek injek. buat berdiri susah, buat duduk sakitnya masya Allah. ini aku harus pake obat apa ya... biar cepet (cont)",N
"sembuh, sakit banget soalnya huhu 🥲🥲",N
💭 kalo baca au adalah pekerjaan kaya nya gw udah jadi miliuner,N
🤍 guyss kalo iph 13 128gb buat main genshiin kiat gak yaa,O
💭 cara nutupin mata panda bisa pake skincare/make up produk apa yaa?,O
💭 apa aku harus goyang dumang biar semua masalah jadi hilang?,O
"cm = centimeter
m = meter
km = punyaku
dm = aku plis 💭",O
💭 ada yg main kart rider? mau temenan ga?,O
💭 tips diet ala kamu gimana?,O
"💭 guys sender baru kena scam convert pulsa 105k ke spay. jujur pengen bgt berkata kasar, tapi akhirnya cuma bisa ngeikhlasin aja https://t.co/MCopvd2C9g",N
💭 besok pake totbag apa ransel ya 😞💫,O
"🤍 guys tolong beri sender motivasi, bahwa jadi sales/ketemu org banyak ga semenakutkan itu😔 kalau gabisa kasih kata2 baik skip aja yaa, lagi butuh motivasi bangett. makasii sebelumya(⁠｡⁠♡⁠‿⁠♡⁠｡⁠)",N
"🤍 tugas kpn berentinya sihh, capek bangetttt",N
"🤍 haloo ada yang tau film horror yg hantunya dari suku indian bertopeng dan berkuda, latarnya di hutan, senjatanya kalo ga salah kapak, terus endingnya dibom sama mc",O
💭 lets be friends? akuu unlabeled,N
🤍 Maaf guys numpang curhat 🙏 https://t.co/9ZJnfmdjXu,O
"💭 sender udh qrt liink tokoonya yaa di beberapa komen, tokonya emng gk rame klo diliat liat tp amanah kok. Ayok ramein tokonya ❤️ https://t.co/pOCjZwcAJw",N
"🤍 sender lagi bimbang mau update miui 13 apa engga, coba dong yg udh update boleh kasi tau (+ -) nya apa aja, tia!",N
"🤍  akhirnya gw ada motivasi buat skripsian lagiii, tau gak motivasinya apa? nabung duit buat nikah. walaupun gw blm ada calon, yg penting nabung dulu, estimasi 2-3th kekumpul sesuai target, bismillah. minta doanya yaa biar segera selese skripsian sama cepet dpt kerja🙏",N
"🤍 ini temen kerja, bukan bestie nya dia. Dan bahkan, baru kenal belom ada 4 bulanan. Kalo sender berlebihan, gapapaa garemin aja. :( https://t.co/hveG1qvdgi",N
💭 ayo sebutin lagu galau kalian di day6,O
"🤍 celana warna kayak gini, cocok pake baju warna apa aja ya? https://t.co/1zvPdLrhli",O
"🤍 dia minta nomor wa terus aku kasih dan dia tau aku lagi sakit abis itu dia ngechat pake emoji itu dan minta pap :3. ilfeel gaksi? sebelumnya itu dia ngechat ngajak main 2x dan agak maksa gitu.. 
https://t.co/W9eIYI3rqM https://t.co/GFtzDQczXh",O
"💭 maaf numpang curhat kesini, karna gatau mau cerita ke siapa.. makasih semuanya💗 https://t.co/CuGYk8lxCQ",O
"help guys, aku minta sarannya, bingung bgt :( 💭 https://t.co/D7FLocbNGj",O
💭 titipan ges https://t.co/mNxWURoJ0B,O
"🤍 pengen kabur aja dari rumah hehe, capek",N
"🤍 cw // payudara, boobs

*titipan https://t.co/6TY86Kv1Vq",O
💭 kalo kalian jadi kasirnya gimana?? https://t.co/D5FQav3E1f,O
"🤍 besok ke jogja sendirian naik krl yay/nay? sender belum pernah sih sendirian naik krl, lagi burnout banget rasanya mau hilaaaaaang https://t.co/X6ODtqK4iS",O
"💭 Kalian punya nggak 'my dream job if money didn't matter'?? Klau ad spill dong, klau sender pengen punya pastry shop, mslnya bnrn punya, maybe roti nya bakal dimakanin mulu sama sender wkwkw.",N
💭 itu lu minum obat apa nge-charge hp sih? kok sehari 3x?,O
ada yg tau gak nama fontnya apa? 💭 https://t.co/zJCsm44Un6,O
"🤍 aku panitia buku tahunan. taun ini gandeng vendor inisial ""A"" asal jogja. vendornya lumayan terkenal 

vendor gini tu bisa dituntut minta kompensasi ngga si? temen2 pengen nagih tapi takut bukunya bakal dibuat asal2an sama vendor

oiya trus ketambahan fotografernya kalo (cont) https://t.co/mhICMUQJWS",O
"🤍 Ga Segaja Ketemu Ini, 52 Tahun Yg Lalu 😳 https://t.co/L6n94HxbzT",N
ngefoto suka miring2 wkwk,N
"🤍 mutualan study/college acc ig yokk, drop link nya ya",O
"💭 niatnya delete for everyone, kepencet delete for me 😔",N
"Lucky you all, have a good father and really cares with his children. I never felt it in 20 years of living in this world 🤍 https://t.co/37TsEUX26v",N
🤍 YG LAGI GABUT YUK MAIN PERTINYI-INYIII... SEBUTKAN : https://t.co/BOot1N2QkG,O
💭 how to being alone without feeling lonely?,O
that was kinda hard in the end atau that was kinda hard at the end?? 💭,O
"💭 cw // gangguan mental, masalah keluarga

gais maaf ya aku tumpahin drama keluarga aku ke sini krn aku minta bantu kalian ya yg mungkin ada masalah keluarga yg serupa🥲 makasih

https://t.co/vDbP7thqFt https://t.co/mLa2v6vXET",N
"GILAKKKK GUE MASIH MUDA UDAH JOMPO BANGET GINI, ENCOK TERUS TIAP HARI 🤍",N
🤍 random acc ayo mutualannn,O
🤍 mending beli chicken wrap/apple pie m*d?,O
💭 eating spongebob's house 😧 https://t.co/TTyocuM1n8,N
💭 halo ada yang bersedia isi padlet ulang tahun? reply aja nanti aku dm,O
🤍 saat beli ini. Apa yg kalian pilih?? https://t.co/9bXqS9yvqO,O
anjir banget sekarang bensin ngapa cepet banget abisnya yah ajig 💭 https://t.co/1X6nt6mWM8,N
💭 wdyt temen yg pas lagi ketemu main hp terus,N
"Ada ga yaa olshop yang jual album kpop sekalian dibungkus/dipacking buat hadiah ultah gituu? Kalo ada, spill dong. BTW TIA 💭",O
Kamu apa kabar? @/visnmokes 🤍,O
"Halooooo, ada yang bisa bantu isi padlet ulang tahun untuk teman ku? nanti linknya aku dm, terimakasiii.   🤍",O
what are you guys gonna do? 💭 https://t.co/3iN4xeiouv,O
💭 guys kalian pernah pap muka asli gak kalo chat di anonymous telegram? Terutama kalo cewek yah,O
🤍 guys boleh tolong like and komeng reelsku egk yh? nnti klo mo barter like tugas ato lomba bleh juga darling 🫶🏻 nnti ak dm yyh,O
🤍 salah ga gua kangen doi pdhl dia yg ngeblok duluan. Trs bulan depan dia ultah dan gua pengen bgt ngucapin😭,N
🤍 drop any song that relates to this month https://t.co/4OvZYAEdmj,O
🤍 eh bukannya kemaren ada berita festivalnya batal? Sender ketinggalan banyak 😰 https://t.co/evO3IgNgej,O
"💭 saran quotes / motivasi alasan untuk bertahan, terserah dari idol/artis/film/anime. Tia♥️ https://t.co/7UG6FxTNVs",O
"🤍 abis dari rumahnya pacarku trs dia lagi sakit tapi tetep nganterin pulang 😭😭 yaallah ngerasa berdosa malah dianterin pulang sama yg sakit, pdhl aku pake gojek juga ngga apa apa tp katanya gaboleh",N
💭 nangisszzz ಥ_ಥ pake lem tembak bisa nyatu gakk yaaa 🥹 https://t.co/iVmeXrr46T,N
💭 KO ADA ORANG SE GEMES KAMUU?!?!?,N
"line ku garing bgt, biar rame gimana ya? 🤍",N
"💭 Aku udah hampir setengah tahun sama doi dalam jenjang serius, udah kenalin ke orangtua juga. Tapi, di galeri &amp; sosmed dia masih banyak foto mantannya. Bahkan doi juga punya akun dia bucin sama mantannya dulu yang sampe sekarang masih aktif(aku ga sengaja nemu di twitter (cont)",N
"karena dia ngereply mf di base). Dia baik, tapi aku kadang ngerasa kalo aku itu cuman dijadiin pengganti mantannya itu. Dia juga kadang bahas mantannya pas lagi bareng aku. Aku harus gimana? Sakit banget, kalo boleh jujur. [Ti ti pan]",N
"🤍 guyz jd ak hari jumat kemaren baru adopt kucing umur 3 bulan, tp tiap malem tuh ngeong mulu itu kenapa ya? padahal dia ga dikandang",O
🤍 drop your now playing,O
"💭 saran nama buat kucingku yang baru lahiran tadi dong🤩 yang dua putih trus satunya belang abu item, makasii",O
"💭 akan ku hadapi semua masalah, tapi sambil ngeluh di twitter",N
🤍 saran film netflix yg bisa dijadiin tema bts dong,O
"💭 Hey kamu, ya kamu jangan lupa berdoa utk malem ini ya Dia gak marah kok saudara ) datang aja kepadaNya luahin segala yg ada didalem hati kamu, Inget Dia setia menunggu kamu, Dia peduli sayang banget ama kamu God bless you",E
"💭 kakak2 aku kan submit jurnal tp lupa add author lainnya, gmna dong gabisa di cancel udh terlanjur dikirim😭😭",O
"💭 kalian tau jendral atau nathan yang fiksi? itu megang akun Twitter nya siapa deh? author nya kah? atau emg ada org lain yg megang? terus kayaknya rajin bgt ya ""how's your day"" tiap hari ga ada bosennya🥹",O
"🤍 rant/unlabeled small acc mutualan yukk sekalian temenan, prefer yang suka jbjb. komen pake meme trbaikmu yeah love",E
"💭 sama sama niacinnya 10%, mending the 0rdinary apa sk1ntific?",O
🤍 Wdyt guys? Gas aja apa mundur? 🚩🚩🚩 https://t.co/dGiHHeInOx,O
💭 rest in peace Lee Jihan😭🤍 https://t.co/uw5K1S45SD,O
random question: kira-kira ada yg phobia sama hari senin ga ya? 💭,O
💭 guys langit dirumah kalian yg sebelah merah sebelah item ga?,O
"🤍 guys ada yang tau sound tikt0k ini? kan bahasa jawa tuh, ada yang tau artinya? makasiiih https://t.co/ywjVsXzZdw",O
💭 Mutualan IG yok guyssss,O
🤍 saran eyeshadow palette yang tersedia di guärd1an &amp; s0cioIIa dong,O
💭 minta sarannya dong https://t.co/e4IrPE01yl,O
"💭 kasih tips biar cepet tidur dong, akhir akhir ini tidur malem trs.",O
💭 GUE KANGEN DAY6 OT5,N
"Nemu postingan majalah hp jadul tahun 2003 di IG alias tahun sender belum lahir, yaampun lucu juga kalo liat modelan hp jaman dulu 😂😂😂 🤍
https://t.co/sNWI0niEc2",N
🤍 ada yg pernah tf dari spay ke bank? kalo jam segini emang lama ya prosesnya? ty!,O
"🤍 buat ultah ke 19, lagu apa yg cocok buat igs?? thanks in advance🫶🏻",O
🤍 guys mending CO skinker skg karna payday apa tunggu 11.11 ya? Diskonnya bnyk mana guys 😉,C
"💭 muka gue perasaan kadang cakep kadang ngga, bisa konsisten ga sihh cakep terus gituu :'",N
💭 gilaaaa. gue masih kontakan sampe sekarang di akkkun rp sama mantan rp gue tahun 2016,N
"💭 guys saran ngucapin ulang tahun buat bestie yg anti mainstream donggg, pls ak udh buntu bgt 😭😭 https://t.co/c5JPwuHf5r",O
💭 mak nya mail &amp; ijat sama gak sih?,O
"💭 cape bgt sama hidup ini, pengen istirahat bentarrr aja bisa ga si??",N
"Anak tahun 90an aku mau nanya dong, emang hp jaman dulu kalo udah layar warna harganya bisa mahal banget ya? Ini sampe dibikin artikelnya sendiri dulu 🥲 🤍 https://t.co/H2FOWcNiUZ",O
🤍 saranin lagu kaya gini gais ✋ https://t.co/fuZXmgW7q4,O
💭 how you guys deal with loneliness..,O
"anjr ni orang-orang habis pandemi pada cakep2 semua, gue kemana-mana ngeliat orang pada glow up semua but me 🥲 💭",N
"💭 besok temen aku ulang tahun, ada yang mau isi secreto nya dia ga yaa? nanti aku dm buat linknya 🫶🏻",O
"🤍 Kalau ada kuis terus ada kesempatan 3 kalii nah kira2 yang diambil nilai paling tinggi atau dibagi rata yaa, sender mo ngulang cuma gatau salahnya dimana takutnya diulang malah nambah kecil😔",C
🤍 ciwi² yang mukanya kecil pake masker kaya gini ga? klo iya spill l1nk nya dong https://t.co/SD3HaGDYIM,O
🤍 (titipan) kalo payment pake qris lewat shopeepay tuh username akun shopee kita keliatan gak?,O
💭 sp yg lgi pilek? cungg ☝☝,A
"💭 besok temen aku ulang tahun, ada yang mau isi secreto nya dia ga yaa? 🫶🏻",O
"🤍 untuk masukin qris ke website, apa bisa cuma difoto ajaa? Atau harus mengubungi ke bc4 nya dulu? Tolong jelasin ke aku supaya paham. Terimakasih yaa🙏",O
🤍 GUYS.. i cut my hair without any reason 😺😺😺 please tell me ini bagus apa engga soalnya besok pacarku mau main ke rumah 😔 https://t.co/bO5Pko1sgW,O
"🤍 di tele ada fitur 'larangan ss/record kiriman media' gaa? buat yg personal to personal yaa, bkn channel. kalo ada yg tau, boleh aku dm?",O
"Ada yang suka mewing disini, mau nanya dong. Kok sender baru balik mewing lagi, dulu ngga ada masalah, malah makin bagus jawlinenya. Tapi sekarang kok nyoba lagi, malah cenat cenut ya mulut atasku? TIA 🤍",O
🤍 I’m so close to giving up,N
🤍 siapa mau ngobrol sama aku didm? :3 aku anaknya berisik tapi .. :›,O
ada komunitas ketawa ga di twt? mau join dong :( 🤍,O
💭 cara mix and match outfit biar ngak keliatan gemuk gimana ya??? Atau ada thread nya? Btw bb sender 60,O
"💭 guys aku bingung banget sumpah, temenku curhat ke aku tentang pacarnya. pacarnya udah mulai minta aneh-aneh dan mulai toxic. temenku gamau putusin karena alasan ‘sayang’ dan udah saling dikenal keluarga masing-masing. aku udah hopeless banget gimana nasehatinnya (cont)",N
soalnya aku takut salah ngomong plis plis plis ada yang punya saran ga?😭,O
"💭 hi, today is my birthday",E
💭 guys cara biar ga minder sama mantannya pacar gimana ya? gue akhir akhir ini suka bgt insecure kalo liat mantannya dia :(,O
🤍 mtix sekarang udah bisa pake gop4y ya pembayaran nya? buat prasale black panther nanti mending di tix id atau mtix ya? thank youu &lt;3,O
"💭 ibukku td bikin pisang bakar, pas tak coba rasanya kyk ada clekit² pedesnya gt. ini msh banyak, kyknya org rumah pada gadoyan dan sayang bgt kalo dibuang tp juga gatega kl besok ibu bangun tp pisangnya msh banyak padahal org rumah suka nyemil semuaaa. aku bingung hrs (cont)",N
diapain ini 😭😭😭,N
"💭 apa yg km pikirkan pertama kali pas denger kata ""semarang""",O
"💭 : Kalau kalian dapat 10 buah QRT tanpa wujud dalam 1 menit, kalian bakal ovt atau biasa saja?",O
"💭 baper kok sm ketikan🫢🥴👎 
*kata sender di dpn cermin",N
"💭 tolong ini gmn cara ratainnya yaaa? trs knp bisa jadi ga sejajar gt yaa? sender lg buat laporan pkl, thank u https://t.co/co23uERzsZ",O
"🤍 cw // food

menu favorit https://t.co/rlkj3cMj7l",O
"🤍 dear C, thanks for always be there for me",N
"🤍 setiap orang bisa sembuh dari lukanya, tapi tidak semua orang bisa berdamai dengan traumanya",N
"🤍 HALO GES TOLONG REPLY !!!
kucing umur 2 bulan boleh dimandiin ga sih?!?!? soalnya ni badannya kena tainya dia sendiri 😓",O
doain aku yaa bisa lupain dia. udh cape bgt berharap sama dia yg bahkan ga noleh samsek ke aku haha. ternyata suka diam diam tu cape bgt yaa aku nyerah soalnya 💭,N
